lat,lon
50.46,10.76
50.46,11.04
50.46,11.32
50.46,11.6
50.46,11.88
50.46,12.16
50.46,12.44
50.46,12.72
50.46,13
50.46,13.28
50.46,13.56
50.64,6
50.64,6.28
50.64,6.56
50.64,6.84
50.64,7.12
50.64,7.4
50.64,7.68
50.64,7.96
50.64,8.24
50.64,8.52
50.64,8.8
50.64,9.08
50.64,9.36
50.64,9.64
50.64,9.92
50.64,10.2
50.64,10.48
50.64,10.76
50.64,11.04
50.64,11.32
50.64,11.6
50.64,11.88
50.64,12.16
50.64,12.44
50.64,12.72
50.64,13
50.64,13.28
50.64,13.56
50.64,13.84
50.64,14.68
50.82,6
50.82,6.28
50.82,6.56
50.82,6.84
50.82,7.12
50.82,7.4
50.82,7.68
50.82,7.96
50.82,8.24
50.82,8.52
50.82,8.8
50.82,9.08
50.82,9.36
50.82,9.64
50.82,9.92
50.82,10.2
50.82,10.48
50.82,10.76
50.82,11.04
50.82,11.32
50.82,11.6
50.82,11.88
50.82,12.16
50.82,12.44
50.82,12.72
50.82,13
50.82,13.28
50.82,13.56
50.82,13.84
50.82,14.12
50.82,14.4
50.82,14.68
50.82,14.96
51,6
51,6.28
51,6.56
51,6.84
51,7.12
51,7.4
51,7.68
51,7.96
51,8.24
51,8.52
51,8.8
51,9.08
51,9.36
51,9.64
51,9.92
51,10.2
51,10.48
51,10.76
51,11.04
51,11.32
51,11.6
51,11.88
51,12.16
51,12.44
51,12.72
51,13
51,13.28
51,13.56
51,13.84
51,14.12
51,14.4
51,14.68
51,14.96
51.18,6
51.18,6.28
51.18,6.56
51.18,6.84
51.18,7.12
51.18,7.4
51.18,7.68
51.18,7.96
51.18,8.24
51.18,8.52
51.18,8.8
51.18,9.08
51.18,9.36
51.18,9.64
51.18,9.92
51.18,10.2
51.18,10.48
51.18,10.76
51.18,11.04
51.18,11.32
51.18,11.6
51.18,11.88
51.18,12.16
51.18,12.44
51.18,12.72
51.18,13
51.18,13.28
51.18,13.56
51.18,13.84
51.18,14.12
51.18,14.4
51.18,14.68
51.18,14.96
51.36,6
51.36,6.28
51.36,6.56
51.36,6.84
51.36,7.12
51.36,7.4
51.36,7.68
51.36,7.96
51.36,8.24
51.36,8.52
